# Aurelius CVE / Finding Ledger
# Format: id | title | severity | cvss | cwe | surface | stride | discovered_via | file:line | status | cycle
# Opened cycle-139 | 2026-04-23

AUR-SEC-2026-0001 | B605/B602: shell-injection risk in cli/main.py and tools/shell_tool.py | Medium | CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N | CWE-78 | cli,agent | Elevation of Privilege | bandit B605/B602 | src/cli/main.py:455 + src/tools/shell_tool.py:48 | fixed | cycle-139 | fix: os.system to subprocess list in cli; nosec annotation plus docstring justification in shell_tool | regression: tests/security/test_security_gate_c139_adversarial.py
AUR-SEC-2026-0017 | Safe archive extractor: zip-slip/tar-slip/bomb guards | N/A | N/A | CWE-N/A | security | Detection | new defensive module | src/security/safe_archive.py | new | cycle-139-sec | member-by-member + path jail | regression: tests/security/test_safe_archive.py

AUR-SEC-2026-0018 | Auth middleware: HMAC timing-safe API key comparison | N/A | N/A | CWE-N/A | serving | Spoofing/EoP | new defensive module | src/serving/auth_middleware.py | new | cycle-139-sec | hmac.compare_digest; DEFAULT require_auth=False | regression: tests/serving/test_auth_middleware.py

AUR-SEC-2026-0019 | Token-bucket rate limiter: thread-safe DoS defense | N/A | N/A | CWE-N/A | serving | DoS | new defensive module | src/serving/rate_limiter.py | new | cycle-139-sec | per-bucket Lock; 100 rps burst 200 | regression: tests/serving/test_rate_limiter.py

AUR-SEC-2026-0020 | urllib SSRF / unchecked scheme in HTTP + Ollama backends | High | CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L | CWE-918 | backends | SSRF | ruff S310 | src/backends/http_backend.py:37,41,72,74; src/backends/ollama_adapter.py:36,43,51 | fixed | cycle-150-sec | fix: central validate_url() allow-list gate; banned file/gopher/ftp/jar/netdoc/javascript/data; optional private-IP block | regression: tests/security/test_url_scheme_validator.py, tests/backends/test_http_backend_url_validation.py

AUR-SEC-2026-0023 | Typosquat guard: Damerau-Levenshtein scan of uv.lock vs curated popular PyPI set | N/A | N/A | CWE-494 | supply-chain | Tampering | new defensive module | src/security/typosquat_guard.py | new | cycle-150-sec | PEP 503 norm + cyrillic/greek homoglyph fold; dist 1=high dist 2=medium; allowlist | regression: tests/security/test_typosquat_guard.py + tests/integration/test_typosquat_guard_integration.py

AUR-SEC-2026-0024 | Bind-address gate: require explicit opt-in to bind 0.0.0.0/::/*; loopback allowed; non-loopback WARNs | N/A | N/A | CWE-1327 | serving | EoP | new defensive module | src/security/bind_address_gate.py | new | cycle-150-sec | env AURELIUS_ALLOW_ANY_INTERFACE=1 or allow_any_interface=True kwarg | regression: tests/security/test_bind_address_gate.py

AUR-SEC-2026-0021 | Safe subprocess wrapper: allowlist + shell=False + timeout + env-allowlist + output cap for code-exec surfaces | High | CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H | CWE-78,CWE-426 | agent,alignment,security | Elevation of Privilege | ruff S603/S607 | src/security/safe_subprocess.py + src/agent/code_execution_sandbox.py:227 + src/agent/code_test_runner.py:257 + src/alignment/red_team.py:228 + src/agent/code_execution_tool.py:136 | fixed | cycle-150-sec | new run_safe wrapper; absolute-path allowlist; 10MiB per-stream cap; shell=False; minimal env default | regression: tests/security/test_safe_subprocess.py + tests/security/test_subprocess_hardening_*.py

AUR-SEC-2026-0022 | CycloneDX 1.5 SBOM generator for uv.lock | N/A | N/A | CWE-1104 | security,deployment | Supply-chain Tampering defense | new defensive module | src/security/sbom_generator.py | new | cycle-150-sec | stdlib only; deterministic ordering; purl pkg:pypi; sha256 of SBOM returned | regression: tests/security/test_sbom_generator.py + tests/integration/test_sbom_generator_integration.py
